timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,position,geolocation
2015-02-25T15:10:00+00:00,0013a20040b5b337,1,511,19.0,19.0,19.0,9.9,9.9,9.9,60.9,60.9,60.9,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150225151000,,"-37.8195002, 144.9418888"
2015-02-25T18:50:00+00:00,0013a20040b31583,1,509,17.7,17.7,17.7,3.0,3.0,3.0,66.9,66.9,66.9,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150225185000,,"-37.8199043, 144.9404851"
2015-02-25T19:50:00+00:00,0013a20040b31583,1,509,17.7,17.7,17.7,18.4,18.4,18.4,65.5,65.5,65.5,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150225195000,,"-37.8199043, 144.9404851"
2015-02-25T20:15:00+00:00,0013a20040b31571,1,510,17.1,17.1,17.1,63.0,63.0,63.0,58.1,58.1,58.1,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150225201500,,"-37.8197121, 144.9413253"
2015-02-25T20:35:00+00:00,0013a20040b31571,1,510,17.1,17.1,17.1,79.4,79.4,79.4,57.9,57.9,57.9,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150225203500,,"-37.8197121, 144.9413253"
2015-02-26T23:15:00+00:00,0013a20040b516ed,1,505,21.0,21.0,21.0,96.0,96.0,96.0,52.9,52.9,52.9,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20150226231500,,"-37.813073, 144.9804061"
2015-02-26T23:20:00+00:00,0013a20040b516f6,1,507,18.7,18.7,18.7,92.6,92.6,92.6,54.0,54.0,54.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20150226232000,,"-37.8149218, 144.9822582"
2015-02-28T02:05:00+00:00,0013a20040b31583,1,509,25.8,25.8,25.8,95.3,95.3,95.3,36.9,36.9,36.9,ENV,-37.8199043,144.9404851,0.03,Docklands Library,509-20150228020500,,"-37.8199043, 144.9404851"
2015-02-26T04:00:00+00:00,0013a20040b516f6,1,507,23.9,23.9,23.9,96.9,96.9,96.9,44.8,44.8,44.8,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20150226040000,,"-37.8149218, 144.9822582"
2015-02-26T04:40:00+00:00,0013a20040b315ec,1,501,26.5,26.5,26.5,97.1,97.1,97.1,40.7,40.7,40.7,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20150226044000,,"-37.8148084, 144.980999"
2015-02-26T04:55:00+00:00,0013a20040b4b755,1,508,22.3,22.3,22.3,94.7,94.7,94.7,42.3,42.3,42.3,ENV,-37.8134078,144.9794923,30.1,Fitzroy Gardens,508-20150226045500,,"-37.8134078, 144.9794923"
2015-02-26T08:25:00+00:00,0013a20040b31571,1,510,21.9,21.9,21.9,96.5,96.5,96.5,49.1,49.1,49.1,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150226082500,,"-37.8197121, 144.9413253"
2015-02-26T06:25:00+00:00,0013a20040b516f6,1,507,24.5,24.5,24.5,96.1,96.1,96.1,43.4,43.4,43.4,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20150226062500,,"-37.8149218, 144.9822582"
2015-02-26T07:05:00+00:00,0013a20040b516f6,1,507,21.0,21.0,21.0,91.5,91.5,91.5,52.9,52.9,52.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20150226070500,,"-37.8149218, 144.9822582"
